Station Name,Country,Latitude,Longitude,Altitude (m),Record Period,Watershed,Data Available?,Paper,Source,
DEHRADUN,India,30.317,78.033,682,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MUSSOORIE,India,30.45,78.083,2042,1954-2004,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
TEHRI,India,30.4,78.483,770,1998-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JOSHIMATH,India,30.55,79.567,1875,1973-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
CHAMOLI,India,30.4,79.333,1160,1999-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MUNSYARI,India,30.117,80.25,3414,2001-2011,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
ANUPGARH,India,29.167,73.167,154,1944-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GANGANAGAR,India,29.917,73.917,177,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
HISSAR,India,29.179,75.755,213.4,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SANGRUR,India,30.167,75.833,236,1983-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KARNAL,India,29.7,77.033,249,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MEERUT,India,29.017,77.633,222,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
ROORKEE,India,29.85,77.883,274,1944-2014,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
NAJIBABAD,India,29.617,78.383,270,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
NAINITAL,India,29.4,79.467,1953,1973-1979,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MUKTESHWAR KUMAON,India,29.467,79.65,2311,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PANTNAGAR,India,29.033,79.467,233,2007-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DHARCHULA,India,29.85,80.533,817,1983-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BIKANER,India,28,73.3,224,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
CHURU,India,28.25,74.917,291,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PILANI,India,28.333,75.583,301,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
ROHTAK,India,28.833,76.583,222,2001-2009,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
NARNAUL,India,28,76.083,308,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GURGAON,India,28.417,77,224,2001-2001,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
